record_id,pack,office,quarter,month,sheet_name,metric_name,metric_unit,metric_kind,species,metric_value
18,fr3,Bumdeling Wildlife Sanctuary,Q1,Jan,Forest_offence,compensation_nu_c14,nu,decimal,Chir Pine,1670.937552533992583436341162
19,fr3,Bumdeling Wildlife Sanctuary,Q1,Jan,Forest_offence,compensation_nu_c14,nu,decimal,Cypress,2254.431248454882571075401731
20,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,Forest_offence,compensation_nu_c14,nu,decimal,Broadleaf Mixed,1296.768949320148331273176761
21,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,Forest_offence,compensation_nu_c14,nu,decimal,Chir Pine,1453.239456118665018541409147
22,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,Forest_offence,compensation_nu_c14,nu,decimal,Cypress,942.224573547589616810877627
23,fr3,Bumdeling Wildlife Sanctuary,Q1,Jan,Forest_offence,fair_market_value_nu_c15,nu,decimal,Broadleaf Mixed,645.6218864407907874592291819
24,fr3,Bumdeling Wildlife Sanctuary,Q1,Jan,Forest_offence,fair_market_value_nu_c15,nu,decimal,Chir Pine,1666.330080543167143712973441
25,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,Forest_offence,fair_market_value_nu_c15,nu,decimal,Cypress,682.5387206283698329228516275
26,fr3,Bumdeling Wildlife Sanctuary,Q1,Jan,Forest_offence,fair_market_value_nu_c15,nu,decimal,Broadleaf Mixed,1485.127604340011981628170139
27,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,Forest_offence,fair_market_value_nu_c15,nu,decimal,Chir Pine,2752.417706183851427810690275
28,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,Forest_offence,fair_market_value_nu_c15,nu,decimal,Cypress,1235.164001863808826466085336
29,fr3,Bumdeling Wildlife Sanctuary,Q1,Jan,Forest_offence,reward_nu_c16,nu,decimal,Broadleaf Mixed,0
30,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,Forest_offence,metric_c18,value,decimal,Blue Pine,7349.158870383779869659666908
31,fr3,Bumdeling Wildlife Sanctuary,Q1,Jan,Forest_offence,metric_c18,value,decimal,Hemlock,779.9265749456915278783490224
32,fr3,Bumdeling Wildlife Sanctuary,Q1,Feb,Forest_offence,metric_c18,value,decimal,Oak,3720.366169442433019551049964
33,fr3,Bumdeling Wildlife Sanctuary,Q1,Jan,Forest_offence,metric_c18,value,decimal,Blue Pine,298.7778421433743664011585807
34,fr3,Bumdeling Wildlife Sanctuary,Q1,Feb,Forest_offence,metric_c18,value,decimal,Hemlock,4520.469949312092686459087618
35,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,Forest_offence,metric_c18,value,decimal,Oak,4765.70059377262853005068791
36,fr3,Bumdeling Wildlife Sanctuary,Q1,Feb,Forest Fire,fire_burnt_forest_area_lost_ha_c4,ha,decimal,Blue Pine,1.314562868369351669941060904
37,fr3,Bumdeling Wildlife Sanctuary,Q1,Jan,Forest Fire,fire_burnt_forest_area_lost_ha_c4,ha,decimal,Hemlock,63.53720530451866404715127701
38,fr3,Bumdeling Wildlife Sanctuary,Q1,Feb,Forest Fire,fire_burnt_forest_area_lost_ha_c4,ha,decimal,Oak,190.0482318271119842829076621
39,fr3,Bumdeling Wildlife Sanctuary,Q1,Feb,Forest Fire,timber_m3_c5,m3,decimal,Cypress,0
40,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,Forest Pest & Disease,forest_type_c3,value,decimal,Oak,0
41,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,Forest Pest & Disease,pest_and_disease_forest_area_lost_ha_c4,ha,decimal,Broadleaf Mixed,0
42,fr3,Bumdeling Wildlife Sanctuary,Q1,Jan,Forest Pest & Disease,timber_volume_m3_c5,m3,decimal,Blue Pine,0
43,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,HWC,hwc_incidience_reported_but_with_no_damage_no_s_c3,count,count,Chir Pine,0
44,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,HWC,crop_damage_conflict_no_s_c4,count,count,Hemlock,0
45,fr3,Bumdeling Wildlife Sanctuary,Q1,Feb,HWC,crop_tree_no_s_c5,count,count,Cypress,0
46,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,HWC,area_acres_c6,acre,decimal,Oak,0
47,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,HWC,conflict_no_s_livestock_depredation_c7,count,count,Broadleaf Mixed,0
48,fr3,Bumdeling Wildlife Sanctuary,Q1,Jan,HWC,human_injury_and_death_c8,value,count,Blue Pine,0
49,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,HWC,property_damage_c9,value,decimal,Chir Pine,0
50,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,HWC,crop_and_property_damage_c10,value,decimal,Hemlock,0
51,fr3,Bumdeling Wildlife Sanctuary,Q1,Feb,HWC,livestock_depredation_and_property_damage_c11,value,count,Cypress,0
52,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,HWC,livestock_depredation_and_crop_damage_c12,value,count,Oak,0
53,fr3,Bumdeling Wildlife Sanctuary,Q1,Jan,HWC,total_count_c13,value,count,Broadleaf Mixed,0
54,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,Rescue & Rehabilitation,animals_rescued_no_s_being_treated_at_the_veterinary_hospital_c3,count,count,Blue Pine,0
55,fr3,Bumdeling Wildlife Sanctuary,Q1,Jan,Rescue & Rehabilitation,escaped_while_rescuing_c4,value,decimal,Chir Pine,0
56,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,Rescue & Rehabilitation,euthanized_c5,ha,decimal,Hemlock,0
57,fr3,Bumdeling Wildlife Sanctuary,Q1,Jan,Rescue & Rehabilitation,released_to_wild_c6,value,decimal,Cypress,0
58,fr3,Bumdeling Wildlife Sanctuary,Q1,Jan,Rescue & Rehabilitation,succumbed_at_site_and_buried_c7,value,decimal,Oak,0
59,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,Rescue & Rehabilitation,succumbed_while_rescuing_and_buried_c8,value,decimal,Broadleaf Mixed,0
60,fr3,Bumdeling Wildlife Sanctuary,Q1,Jan,Rescue & Rehabilitation,taken_for_treatment_c9,value,decimal,Blue Pine,0
61,fr3,Bumdeling Wildlife Sanctuary,Q1,Feb,Rescue & Rehabilitation,taken_to_the_rehabilitation_center_c10,ha,decimal,Chir Pine,0
62,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,Rescue & Rehabilitation,treated_and_released_to_the_wild_c11,value,decimal,Hemlock,0
63,fr3,Bumdeling Wildlife Sanctuary,Q1,Jan,Rescue & Rehabilitation,treated_at_site_and_released_c12,value,decimal,Cypress,0
64,fr3,Bumdeling Wildlife Sanctuary,Q1,Feb,Rescue & Rehabilitation,trophies_surrendered_to_dept_c13,value,decimal,Oak,0
65,fr3,Bumdeling Wildlife Sanctuary,Q1,Feb,Rescue & Rehabilitation,total_animals_recued_c14,value,decimal,Broadleaf Mixed,0
66,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,Forest_offence,offence_cases_no_s_aquatic_and_fishing_c3,count,count,Blue Pine,0
67,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,Forest_offence,forest_fire_c4,value,decimal,Chir Pine,0
68,fr3,"Divisional Forest Office, Bumthang",Q1,Mar,Forest_offence,grazing_c5,value,decimal,Hemlock,0
69,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,Forest_offence,illegal_timber_c6,value,decimal,Cypress,1.916170574656785323775968898
70,fr3,"Divisional Forest Office, Bumthang",Q1,Jan,Forest_offence,illegal_timber_c6,value,decimal,Broadleaf Mixed,2.083829425343214676224031102
71,fr3,"Divisional Forest Office, Bumthang",Q1,Jan,Forest_offence,land_related_c7,value,decimal,Broadleaf Mixed,0
72,fr3,"Divisional Forest Office, Bumthang",Q1,Jan,Forest_offence,nwfp_c8,value,decimal,Blue Pine,0
73,fr3,"Divisional Forest Office, Bumthang",Q1,Jan,Forest_offence,others_c9,value,decimal,Chir Pine,0
74,fr3,"Divisional Forest Office, Bumthang",Q1,Jan,Forest_offence,timber_misuse_c10,value,decimal,Hemlock,0.4337880079568059107701051435
75,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,Forest_offence,timber_misuse_c10,value,decimal,Oak,0.5662119920431940892298948565
76,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,Forest_offence,waste_pollution_c11,value,decimal,Oak,0
77,fr3,"Divisional Forest Office, Bumthang",Q1,Jan,Forest_offence,wildlife_and_poaching_c12,value,decimal,Broadleaf Mixed,0
78,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,Forest_offence,fine_nu_c13,nu,decimal,Blue Pine,2299.744957143777792098988206
79,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,Forest_offence,fine_nu_c13,nu,decimal,Hemlock,9607.749524714828897338403042
80,fr3,"Divisional Forest Office, Bumthang",Q1,Mar,Forest_offence,fine_nu_c13,nu,decimal,Oak,1719.269833086292453438164594
81,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,Forest_offence,fine_nu_c13,nu,decimal,Blue Pine,10153.88356318876071405555198
82,fr3,"Divisional Forest Office, Bumthang",Q1,Jan,Forest_offence,fine_nu_c13,nu,decimal,Hemlock,5660.740236514790230070245537
83,fr3,"Divisional Forest Office, Bumthang",Q1,Jan,Forest_offence,fine_nu_c13,nu,decimal,Oak,4937.36188535154991299864664
84,fr3,"Divisional Forest Office, Bumthang",Q1,Mar,Forest_offence,compensation_nu_c14,nu,decimal,Blue Pine,11381.60698227982015339857181
85,fr3,"Divisional Forest Office, Bumthang",Q1,Mar,Forest_offence,compensation_nu_c14,nu,decimal,Hemlock,2791.219254165564665432425284
86,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,Forest_offence,compensation_nu_c14,nu,decimal,Oak,14854.21211319756678127479503
87,fr3,"Divisional Forest Office, Bumthang",Q1,Jan,Forest_offence,compensation_nu_c14,nu,decimal,Blue Pine,14256.56281407035175879396985
88,fr3,"Divisional Forest Office, Bumthang",Q1,Jan,Forest_offence,compensation_nu_c14,nu,decimal,Hemlock,3968.457021951864586088336419
89,fr3,"Divisional Forest Office, Bumthang",Q1,Mar,Forest_offence,compensation_nu_c14,nu,decimal,Oak,14827.94181433483205501190161
90,fr3,"Divisional Forest Office, Bumthang",Q1,Mar,Forest_offence,fair_market_value_nu_c15,nu,decimal,Blue Pine,4193.926819931132266558638850
91,fr3,"Divisional Forest Office, Bumthang",Q1,Mar,Forest_offence,fair_market_value_nu_c15,nu,decimal,Hemlock,6503.638468705691715616771319
92,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,Forest_offence,fair_market_value_nu_c15,nu,decimal,Oak,6713.290579299169536155560057
93,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,Forest_offence,fair_market_value_nu_c15,nu,decimal,Blue Pine,5238.648940652217946121126190
94,fr3,"Divisional Forest Office, Bumthang",Q1,Jan,Forest_offence,fair_market_value_nu_c15,nu,decimal,Hemlock,3561.432055904395381810816285
95,fr3,"Divisional Forest Office, Bumthang",Q1,Mar,Forest_offence,fair_market_value_nu_c15,nu,decimal,Oak,8727.54313550739315373708730
96,fr3,"Divisional Forest Office, Bumthang",Q1,Mar,Forest_offence,reward_nu_c16,nu,decimal,Blue Pine,0
97,fr3,"Divisional Forest Office, Bumthang",Q1,Jan,Forest_offence,metric_c18,value,decimal,Chir Pine,4641.431413607375342827875624
98,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,Forest_offence,metric_c18,value,decimal,Cypress,40318.36492680831378250669134
99,fr3,"Divisional Forest Office, Bumthang",Q1,Mar,Forest_offence,metric_c18,value,decimal,Broadleaf Mixed,10885.00332452169315665994779
100,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,Forest_offence,metric_c18,value,decimal,Chir Pine,30097.66375970657238211677626
101,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,Forest_offence,metric_c18,value,decimal,Cypress,10494.23734956878035885404620
102,fr3,"Divisional Forest Office, Bumthang",Q1,Jan,Forest_offence,metric_c18,value,decimal,Broadleaf Mixed,34960.52922578726497703466279
103,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,Forest Fire,fire_burnt_forest_area_lost_ha_c4,ha,decimal,Chir Pine,33.67163150867823765020026702
104,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,Forest Fire,fire_burnt_forest_area_lost_ha_c4,ha,decimal,Cypress,30.67836849132176234979973298
105,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,Forest Fire,timber_m3_c5,m3,decimal,Cypress,6.926227868201667328304882890
106,fr3,"Divisional Forest Office, Bumthang",Q1,Jan,Forest Fire,timber_m3_c5,m3,decimal,Broadleaf Mixed,5.993772131798332671695117110
107,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,Forest Pest & Disease,forest_type_c3,value,decimal,Broadleaf Mixed,0
108,fr3,"Divisional Forest Office, Bumthang",Q1,Jan,Forest Pest & Disease,pest_and_disease_forest_area_lost_ha_c4,ha,decimal,Blue Pine,0
109,fr3,"Divisional Forest Office, Bumthang",Q1,Jan,Forest Pest & Disease,timber_volume_m3_c5,m3,decimal,Chir Pine,0
110,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,HWC,hwc_incidience_reported_but_with_no_damage_no_s_c3,count,count,Hemlock,0
111,fr3,"Divisional Forest Office, Bumthang",Q1,Jan,HWC,crop_damage_conflict_no_s_c4,count,count,Cypress,0
112,fr3,"Divisional Forest Office, Bumthang",Q1,Mar,HWC,crop_tree_no_s_c5,count,count,Oak,0
113,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,HWC,area_acres_c6,acre,decimal,Broadleaf Mixed,0
114,fr3,"Divisional Forest Office, Bumthang",Q1,Mar,HWC,conflict_no_s_livestock_depredation_c7,count,count,Blue Pine,0
115,fr3,"Divisional Forest Office, Bumthang",Q1,Mar,HWC,human_injury_and_death_c8,value,count,Chir Pine,0
116,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,HWC,property_damage_c9,value,decimal,Hemlock,0
117,fr3,"Divisional Forest Office, Bumthang",Q1,Jan,HWC,crop_and_property_damage_c10,value,decimal,Cypress,0
118,fr3,"Divisional Forest Office, Bumthang",Q1,Mar,HWC,livestock_depredation_and_property_damage_c11,value,count,Oak,0
119,fr3,"Divisional Forest Office, Bumthang",Q1,Jan,HWC,livestock_depredation_and_crop_damage_c12,value,count,Broadleaf Mixed,0
120,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,HWC,total_count_c13,value,count,Blue Pine,0
121,fr3,"Divisional Forest Office, Bumthang",Q1,Jan,Rescue & Rehabilitation,animals_rescued_no_s_being_treated_at_the_veterinary_hospital_c3,count,count,Chir Pine,0
122,fr3,"Divisional Forest Office, Bumthang",Q1,Mar,Rescue & Rehabilitation,escaped_while_rescuing_c4,value,decimal,Hemlock,0
123,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,Rescue & Rehabilitation,euthanized_c5,ha,decimal,Cypress,0
124,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,Rescue & Rehabilitation,released_to_wild_c6,value,decimal,Oak,0.1604616018683885149058936667
125,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,Rescue & Rehabilitation,released_to_wild_c6,value,decimal,Blue Pine,0.8395383981316114850941063333
126,fr3,"Divisional Forest Office, Bumthang",Q1,Jan,Rescue & Rehabilitation,succumbed_at_site_and_buried_c7,value,decimal,Blue Pine,0
127,fr3,"Divisional Forest Office, Bumthang",Q1,Mar,Rescue & Rehabilitation,succumbed_while_rescuing_and_buried_c8,value,decimal,Chir Pine,0
128,fr3,"Divisional Forest Office, Bumthang",Q1,Mar,Rescue & Rehabilitation,taken_for_treatment_c9,value,decimal,Hemlock,0
129,fr3,"Divisional Forest Office, Bumthang",Q1,Jan,Rescue & Rehabilitation,taken_to_the_rehabilitation_center_c10,ha,decimal,Cypress,0
130,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,Rescue & Rehabilitation,treated_and_released_to_the_wild_c11,value,decimal,Oak,0
131,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,Rescue & Rehabilitation,treated_at_site_and_released_c12,value,decimal,Broadleaf Mixed,0
132,fr3,"Divisional Forest Office, Bumthang",Q1,Feb,Rescue & Rehabilitation,trophies_surrendered_to_dept_c13,value,decimal,Blue Pine,0
133,fr3,"Divisional Forest Office, Bumthang",Q1,Mar,Rescue & Rehabilitation,total_animals_recued_c14,value,decimal,Chir Pine,0.1837249435815744059471658038
134,fr3,"Divisional Forest Office, Bumthang",Q1,Jan,Rescue & Rehabilitation,total_animals_recued_c14,value,decimal,Cypress,0.8162750564184255940528341962
135,fr3,"Divisional Forest Office, Dagana",Q1,Feb,Forest_offence,offence_cases_no_s_aquatic_and_fishing_c3,count,count,Cypress,0
136,fr3,"Divisional Forest Office, Dagana",Q1,Feb,Forest_offence,forest_fire_c4,value,decimal,Oak,0
137,fr3,"Divisional Forest Office, Dagana",Q1,Mar,Forest_offence,grazing_c5,value,decimal,Broadleaf Mixed,0
138,fr3,"Divisional Forest Office, Dagana",Q1,Feb,Forest_offence,illegal_timber_c6,value,decimal,Blue Pine,0.7643029068690983151268283651
139,fr3,"Divisional Forest Office, Dagana",Q1,Feb,Forest_offence,illegal_timber_c6,value,decimal,Hemlock,5.235697093130901684873171635
140,fr3,"Divisional Forest Office, Dagana",Q1,Feb,Forest_offence,land_related_c7,value,decimal,Hemlock,0
141,fr3,"Divisional Forest Office, Dagana",Q1,Jan,Forest_offence,nwfp_c8,value,decimal,Cypress,0
142,fr3,"Divisional Forest Office, Dagana",Q1,Jan,Forest_offence,others_c9,value,decimal,Oak,0
143,fr3,"Divisional Forest Office, Dagana",Q1,Mar,Forest_offence,timber_misuse_c10,value,decimal,Broadleaf Mixed,0.3847209515096065873741994511
144,fr3,"Divisional Forest Office, Dagana",Q1,Feb,Forest_offence,timber_misuse_c10,value,decimal,Chir Pine,1.615279048490393412625800549
145,fr3,"Divisional Forest Office, Dagana",Q1,Jan,Forest_offence,waste_pollution_c11,value,decimal,Chir Pine,0
146,fr3,"Divisional Forest Office, Dagana",Q1,Feb,Forest_offence,wildlife_and_poaching_c12,value,decimal,Hemlock,0
147,fr3,"Divisional Forest Office, Dagana",Q1,Jan,Forest_offence,fine_nu_c13,nu,decimal,Cypress,9998.516644767515788581358878
148,fr3,"Divisional Forest Office, Dagana",Q1,Feb,Forest_offence,fine_nu_c13,nu,decimal,Broadleaf Mixed,13961.36989785105751706014496
149,fr3,"Divisional Forest Office, Dagana",Q1,Mar,Forest_offence,fine_nu_c13,nu,decimal,Chir Pine,2660.275573263256050523460348
150,fr3,"Divisional Forest Office, Dagana",Q1,Mar,Forest_offence,fine_nu_c13,nu,decimal,Cypress,552.6526681642860170389522316
151,fr3,"Divisional Forest Office, Dagana",Q1,Feb,Forest_offence,fine_nu_c13,nu,decimal,Broadleaf Mixed,1573.827152121391938286779977
152,fr3,"Divisional Forest Office, Dagana",Q1,Feb,Forest_offence,fine_nu_c13,nu,decimal,Chir Pine,5475.75806383249268850930360
153,fr3,"Divisional Forest Office, Dagana",Q1,Jan,Forest_offence,compensation_nu_c14,nu,decimal,Cypress,6169.043091828138163437236731
154,fr3,"Divisional Forest Office, Dagana",Q1,Feb,Forest_offence,compensation_nu_c14,nu,decimal,Broadleaf Mixed,12815.17651943675532555060777
155,fr3,"Divisional Forest Office, Dagana",Q1,Jan,Forest_offence,compensation_nu_c14,nu,decimal,Chir Pine,8135.715475989890480202190396
156,fr3,"Divisional Forest Office, Dagana",Q1,Feb,Forest_offence,compensation_nu_c14,nu,decimal,Cypress,5906.643407148874714165362860
157,fr3,"Divisional Forest Office, Dagana",Q1,Feb,Forest_offence,compensation_nu_c14,nu,decimal,Broadleaf Mixed,5318.231993019617282464797208
158,fr3,"Divisional Forest Office, Dagana",Q1,Mar,Forest_offence,compensation_nu_c14,nu,decimal,Chir Pine,5701.22951257672403417980503
159,fr3,"Divisional Forest Office, Dagana",Q1,Feb,Forest_offence,fair_market_value_nu_c15,nu,decimal,Cypress,2805.070109995537706381079875
160,fr3,"Divisional Forest Office, Dagana",Q1,Jan,Forest_offence,fair_market_value_nu_c15,nu,decimal,Broadleaf Mixed,2722.925974453369031682284694
161,fr3,"Divisional Forest Office, Dagana",Q1,Mar,Forest_offence,fair_market_value_nu_c15,nu,decimal,Chir Pine,2240.057537483266398929049531
162,fr3,"Divisional Forest Office, Dagana",Q1,Feb,Forest_offence,fair_market_value_nu_c15,nu,decimal,Cypress,2182.687030120481927710843373
163,fr3,"Divisional Forest Office, Dagana",Q1,Jan,Forest_offence,fair_market_value_nu_c15,nu,decimal,Broadleaf Mixed,2316.116922244533690316822847
164,fr3,"Divisional Forest Office, Dagana",Q1,Mar,Forest_offence,fair_market_value_nu_c15,nu,decimal,Chir Pine,3317.05842570281124497991968
165,fr3,"Divisional Forest Office, Dagana",Q1,Jan,Forest_offence,reward_nu_c16,nu,decimal,Cypress,0
166,fr3,"Divisional Forest Office, Dagana",Q1,Feb,Forest_offence,metric_c18,value,decimal,Oak,9532.229533213512819572314125
167,fr3,"Divisional Forest Office, Dagana",Q1,Mar,Forest_offence,metric_c18,value,decimal,Blue Pine,28927.16676330557898983970950
168,fr3,"Divisional Forest Office, Dagana",Q1,Mar,Forest_offence,metric_c18,value,decimal,Hemlock,16258.83715614569196346696989
169,fr3,"Divisional Forest Office, Dagana",Q1,Jan,Forest_offence,metric_c18,value,decimal,Oak,10354.98246150460330851336977
170,fr3,"Divisional Forest Office, Dagana",Q1,Feb,Forest_offence,metric_c18,value,decimal,Blue Pine,14090.07420709386347797381066
171,fr3,"Divisional Forest Office, Dagana",Q1,Jan,Forest_offence,metric_c18,value,decimal,Hemlock,14689.06587873674944063382606
172,fr3,"Divisional Forest Office, Dagana",Q1,Feb,Forest Fire,fire_burnt_forest_area_lost_ha_c4,ha,decimal,Oak,0.1053327821413807358412567177
173,fr3,"Divisional Forest Office, Dagana",Q1,Jan,Forest Fire,fire_burnt_forest_area_lost_ha_c4,ha,decimal,Blue Pine,0.3946672178586192641587432823
174,fr3,"Divisional Forest Office, Dagana",Q1,Mar,Forest Fire,timber_m3_c5,m3,decimal,Blue Pine,0
175,fr3,"Divisional Forest Office, Dagana",Q1,Feb,Forest Pest & Disease,forest_type_c3,value,decimal,Chir Pine,0
176,fr3,"Divisional Forest Office, Dagana",Q1,Feb,Forest Pest & Disease,pest_and_disease_forest_area_lost_ha_c4,ha,decimal,Hemlock,0
177,fr3,"Divisional Forest Office, Dagana",Q1,Jan,Forest Pest & Disease,timber_volume_m3_c5,m3,decimal,Cypress,0
178,fr3,"Divisional Forest Office, Dagana",Q1,Jan,HWC,hwc_incidience_reported_but_with_no_damage_no_s_c3,count,count,Oak,0
179,fr3,"Divisional Forest Office, Dagana",Q1,Mar,HWC,crop_damage_conflict_no_s_c4,count,count,Broadleaf Mixed,0.5518207282913165266106442577
180,fr3,"Divisional Forest Office, Dagana",Q1,Jan,HWC,crop_damage_conflict_no_s_c4,count,count,Chir Pine,0.4481792717086834733893557423
181,fr3,"Divisional Forest Office, Dagana",Q1,Mar,HWC,crop_tree_no_s_c5,count,count,Chir Pine,2.370743090498067527164004959
182,fr3,"Divisional Forest Office, Dagana",Q1,Jan,HWC,crop_tree_no_s_c5,count,count,Cypress,2.629256909501932472835995041
183,fr3,"Divisional Forest Office, Dagana",Q1,Jan,HWC,area_acres_c6,acre,decimal,Cypress,0
184,fr3,"Divisional Forest Office, Dagana",Q1,Feb,HWC,conflict_no_s_livestock_depredation_c7,count,count,Oak,0
185,fr3,"Divisional Forest Office, Dagana",Q1,Jan,HWC,human_injury_and_death_c8,value,count,Broadleaf Mixed,0
186,fr3,"Divisional Forest Office, Dagana",Q1,Feb,HWC,property_damage_c9,value,decimal,Blue Pine,0.05558436171315980503992533444
187,fr3,"Divisional Forest Office, Dagana",Q1,Jan,HWC,property_damage_c9,value,decimal,Hemlock,1.944415638286840194960074666
188,fr3,"Divisional Forest Office, Dagana",Q1,Feb,HWC,crop_and_property_damage_c10,value,decimal,Hemlock,0
189,fr3,"Divisional Forest Office, Dagana",Q1,Feb,HWC,livestock_depredation_and_property_damage_c11,value,count,Cypress,0
190,fr3,"Divisional Forest Office, Dagana",Q1,Feb,HWC,livestock_depredation_and_crop_damage_c12,value,count,Oak,0
191,fr3,"Divisional Forest Office, Dagana",Q1,Mar,HWC,total_count_c13,value,count,Broadleaf Mixed,1.417634372926343729263437293
192,fr3,"Divisional Forest Office, Dagana",Q1,Feb,HWC,total_count_c13,value,count,Chir Pine,1.582365627073656270736562707
193,fr3,"Divisional Forest Office, Dagana",Q1,Jan,Rescue & Rehabilitation,animals_rescued_no_s_being_treated_at_the_veterinary_hospital_c3,count,count,Chir Pine,0
194,fr3,"Divisional Forest Office, Dagana",Q1,Feb,Rescue & Rehabilitation,escaped_while_rescuing_c4,value,decimal,Hemlock,0
195,fr3,"Divisional Forest Office, Dagana",Q1,Jan,Rescue & Rehabilitation,euthanized_c5,ha,decimal,Cypress,0
196,fr3,"Divisional Forest Office, Dagana",Q1,Feb,Rescue & Rehabilitation,released_to_wild_c6,value,decimal,Oak,0
